Actual Total Load;Date;Hour
20711,275;20220711;15
20692,663;20220711;16
20305,238;20220711;17
20703,05;20220711;18
20562,975;20220711;19
20696,375;20220711;20
20644,675;20220711;21
20394,788;20220711;22
19277,838;20220711;23
17751,875;20220711;24
16535,413;20220712;1
15867,6;20220712;2
15496,138;20220712;3
15494,238;20220712;4
15360,238;20220712;5
15684,913;20220712;6
17919,2;20220712;7
19896,188;20220712;8
20770,05;20220712;9
21157,125;20220712;10
21000,563;20220712;11
21238,15;20220712;12
21364,613;20220712;13
21011,825;20220712;14
20707,15;20220712;15
20689,663;20220712;16
21059,763;20220712;17
20473,9;20220712;18
20283,788;20220712;19
20605,463;20220712;20
20873,588;20220712;21
20592,85;20220712;22
19293,563;20220712;23
17810,775;20220712;24
16754,975;20220713;1
16134,25;20220713;2
15709,275;20220713;3
15733,425;20220713;4
15666,275;20220713;5
15839,263;20220713;6
17959,613;20220713;7
19913,488;20220713;8
20926,788;20220713;9
21192,788;20220713;10
20898,888;20220713;11
21289,263;20220713;12
21603,563;20220713;13
21593,413;20220713;14
21448,238;20220713;15
21613,125;20220713;16
21541,088;20220713;17
21627,025;20220713;18
21454,45;20220713;19
21338,25;20220713;20
21295,8;20220713;21
20946,663;20220713;22
19710,088;20220713;23
18364,938;20220713;24
17202,175;20220714;1
16598,538;20220714;2
16215,438;20220714;3
16090,338;20220714;4
15845,288;20220714;5
16132,238;20220714;6
18247,675;20220714;7
20176,375;20220714;8
21393,65;20220714;9
21748,9;20220714;10
21573,925;20220714;11
21704,65;20220714;12
21653,425;20220714;13
21969,313;20220714;14
21779,075;20220714;15
21499,313;20220714;16
21919,375;20220714;17
21624,838;20220714;18
21398,95;20220714;19
21385,25;20220714;20
21302,3;20220714;21
20873,45;20220714;22
19714,45;20220714;23
18351,788;20220714;24
17060,138;20220715;1
16520;20220715;2
16120,863;20220715;3
16045,088;20220715;4
15898,913;20220715;5
16125,7;20220715;6
17974,713;20220715;7
19747,225;20220715;8
20840,6;20220715;9
20925,7;20220715;10
20662,3;20220715;11
21095,263;20220715;12
21301,963;20220715;13
20954,65;20220715;14
20572,85;20220715;15
20644,988;20220715;16
20509,925;20220715;17
20521,313;20220715;18
20437,063;20220715;19
20440,863;20220715;20
20433,475;20220715;21
20048,8;20220715;22
18909,038;20220715;23
17691,975;20220715;24
16491,263;20220716;1
15721,788;20220716;2
15345,625;20220716;3
15252,8;20220716;4
14902,225;20220716;5
14617,575;20220716;6
15367,013;20220716;7
16774,138;20220716;8
17936,575;20220716;9
18492,5;20220716;10
18672,9;20220716;11
18898,9;20220716;12
18908,663;20220716;13
18473,463;20220716;14
18121,488;20220716;15
17923,338;20220716;16
17870,775;20220716;17
18217,8;20220716;18
17633,225;20220716;19
17736,675;20220716;20
17723,638;20220716;21
17596,238;20220716;22
16851,625;20220716;23
15730,55;20220716;24
14575;20220717;1
14065,188;20220717;2
13692,813;20220717;3
13453,225;20220717;4
13025,888;20220717;5
12743,338;20220717;6
13130,238;20220717;7
13868,838;20220717;8
14718,875;20220717;9
15307,8;20220717;10
15540,925;20220717;11
15849,7;20220717;12
15771,525;20220717;13
16059,288;20220717;14
15926,863;20220717;15
15635,488;20220717;16
15455,95;20220717;17
15590,625;20220717;18
16042,288;20220717;19
16453,925;20220717;20
16768,95;20220717;21
17062,513;20220717;22
16683,738;20220717;23
15604,625;20220717;24
14714,55;20220718;1
14275,725;20220718;2
14043,425;20220718;3
14090,613;20220718;4
14108,538;20220718;5
14635,038;20220718;6
17209,438;20220718;7
19306,6;20220718;8
20746,188;20220718;9
20983,4;20220718;10
20822,825;20220718;11
21020,938;20220718;12
21115,95;20220718;13
21104,963;20220718;14
20876,9;20220718;15
20925,438;20220718;16
20832,75;20220718;17
20794,438;20220718;18
20846,05;20220718;19
20925,988;20220718;20
20996,05;20220718;21
20734,563;20220718;22
19516,25;20220718;23
18116,5;20220718;24
16884,2;20220719;1
16332,675;20220719;2
15923,088;20220719;3
15840,263;20220719;4
15736,638;20220719;5
15958,263;20220719;6
18037,988;20220719;7
20047,338;20220719;8
21347,238;20220719;9
21825,513;20220719;10
21842,588;20220719;11
22112,1;20220719;12
22267,563;20220719;13
22058,575;20220719;14
21844,225;20220719;15
21882,925;20220719;16
21748,25;20220719;17
21694,075;20220719;18
21531,213;20220719;19
21606,088;20220719;20
21613,325;20220719;21
21337,95;20220719;22
20074,888;20220719;23
18564,538;20220719;24
17229,463;20220720;1
16411,75;20220720;2
16127,45;20220720;3
15981,188;20220720;4
15813,813;20220720;5
16088,4;20220720;6
18279,375;20220720;7
20459,775;20220720;8
21747,963;20220720;9
22075,488;20220720;10
22078,85;20220720;11
22436,488;20220720;12
22593,325;20220720;13
22499,113;20220720;14
22044,563;20220720;15
22196,775;20220720;16
22151,413;20220720;17
22117,163;20220720;18
22000,563;20220720;19
21953,875;20220720;20
21890,675;20220720;21
21577,65;20220720;22
20257,175;20220720;23
18683,125;20220720;24
17367,813;20220721;1
16569,25;20220721;2
16101,463;20220721;3
16077,163;20220721;4
15933,625;20220721;5
16195,775;20220721;6
18389,125;20220721;7
20673,338;20220721;8
21948,088;20220721;9
22287,525;20220721;10
22240,775;20220721;11
22650,363;20220721;12
22683,938;20220721;13
22507,138;20220721;14
22390,375;20220721;15
22554,638;20220721;16
22571,863;20220721;17
22422,4;20220721;18
22244,463;20220721;19
22211,613;20220721;20
22087,563;20220721;21
21799,938;20220721;22
20530,075;20220721;23
18948,9;20220721;24
17706;20220722;1
16841,413;20220722;2
16515,538;20220722;3
16388,075;20220722;4
16373,188;20220722;5
16536,363;20220722;6
18763,138;20220722;7
20802,513;20220722;8
21956,688;20220722;9
22292,375;20220722;10
22442,7;20220722;11
22749,388;20220722;12
23078,088;20220722;13
22921,188;20220722;14
22712,513;20220722;15
22722,5;20220722;16
22593,675;20220722;17
22455,938;20220722;18
22178,375;20220722;19
21893,575;20220722;20
21700,625;20220722;21
21399,875;20220722;22
20214,95;20220722;23
18760,638;20220722;24
17475,675;20220723;1
16630,525;20220723;2
16114,9;20220723;3
15948,488;20220723;4
15579;20220723;5
15331,7;20220723;6
16173,575;20220723;7
17540,525;20220723;8
18795,75;20220723;9
19607,838;20220723;10
19856,763;20220723;11
20096,638;20220723;12
20086,013;20220723;13
19834,75;20220723;14
19653,2;20220723;15
19547,613;20220723;16
19529,863;20220723;17
19112,15;20220723;18
19019,675;20220723;19
18600,95;20220723;20
18444,875;20220723;21
18389,275;20220723;22
17542,988;20220723;23
16218,538;20220723;24
15101,263;20220724;1
14588,675;20220724;2
14148,763;20220724;3
14018,563;20220724;4
13654,013;20220724;5
13298,375;20220724;6
13592,15;20220724;7
14370,65;20220724;8
15160,188;20220724;9
15831,263;20220724;10
16013,588;20220724;11
16397,713;20220724;12
16598,938;20220724;13
16605,488;20220724;14
16397,913;20220724;15
16355,238;20220724;16
16259,413;20220724;17
16481,4;20220724;18
16857,813;20220724;19
17183,438;20220724;20
17326,063;20220724;21
17673,538;20220724;22
17151,425;20220724;23
16071,363;20220724;24
14945,95;20220725;1
14397,2;20220725;2
14072,388;20220725;3
14034,775;20220725;4
14141,938;20220725;5
14555,488;20220725;6
16865,813;20220725;7
19228,588;20220725;8
20648,338;20220725;9
21213,225;20220725;10
21167,088;20220725;11
21343,438;20220725;12
21482,075;20220725;13
21372,95;20220725;14
21132,925;20220725;15
21510,938;20220725;16
21496,15;20220725;17
21460,838;20220725;18
21340,925;20220725;19
21309,663;20220725;20
21235,588;20220725;21
21094,375;20220725;22
19668,613;20220725;23
18078;20220725;24
16935,688;20220726;1
16385,725;20220726;2
16006,575;20220726;3
15865,4;20220726;4
15787,025;20220726;5
16083,575;20220726;6
18039,55;20220726;7
19866,613;20220726;8
21012,75;20220726;9
21709,2;20220726;10
21545,488;20220726;11
21923,813;20220726;12
22252,475;20220726;13
22285,525;20220726;14
22008,45;20220726;15
21913,763;20220726;16
21522,65;20220726;17
21087,25;20220726;18
20782,6;20220726;19
20718,975;20220726;20
20789,6;20220726;21
20381,063;20220726;22
19103,85;20220726;23
17794,15;20220726;24
16573,275;20220727;1
15927,825;20220727;2
15749,975;20220727;3
15665,688;20220727;4
15728,238;20220727;5
15753,388;20220727;6
17780,725;20220727;7
19717,65;20220727;8
20742,888;20220727;9
21120,575;20220727;10
21224,113;20220727;11
21086,95;20220727;12
20922,575;20220727;13
21142,638;20220727;14
20762,713;20220727;15
20746,975;20220727;16
20691,288;20220727;17
20581,5;20220727;18
20356,288;20220727;19
20483,788;20220727;20
20557,038;20220727;21
20409,75;20220727;22
19087,388;20220727;23
17651,088;20220727;24
16405,538;20220728;1
15776,975;20220728;2
15529,175;20220728;3
15418,325;20220728;4
15451,663;20220728;5
15607,463;20220728;6
17571,738;20220728;7
19242,625;20220728;8
20258,925;20220728;9
20333,663;20220728;10
20526,363;20220728;11
20820,813;20220728;12
20908,45;20220728;13
20987,35;20220728;14
20717,6;20220728;15
20677,925;20220728;16
20673,388;20220728;17
20531,325;20220728;18
20514,038;20220728;19
20610,313;20220728;20
20697,475;20220728;21
20453,338;20220728;22
19025,425;20220728;23
17550,588;20220728;24
16295,063;20220729;1
15794,325;20220729;2
15374,625;20220729;3
15292,55;20220729;4
15269,513;20220729;5
15334,863;20220729;6
17266,55;20220729;7
19330,738;20220729;8
20479,75;20220729;9
20877,475;20220729;10
20678,263;20220729;11
21237,688;20220729;12
21346,888;20220729;13
21208,225;20220729;14
20743,875;20220729;15
21006,675;20220729;16
20836,563;20220729;17
20436,788;20220729;18
20370,65;20220729;19
20493,2;20220729;20
20359,3;20220729;21
20115,175;20220729;22
18799,963;20220729;23
17511,263;20220729;24
16394,3;20220730;1
15559,563;20220730;2
15040,913;20220730;3
14917,988;20220730;4
14811,925;20220730;5
14376,1;20220730;6
15282,15;20220730;7
16360,863;20220730;8
17635,888;20220730;9
18591,375;20220730;10
18993,638;20220730;11
19266,163;20220730;12
19051,025;20220730;13
19008,488;20220730;14
18717,7;20220730;15
18432,888;20220730;16
18359,563;20220730;17
18248,163;20220730;18
18043,675;20220730;19
18017,263;20220730;20
18109,3;20220730;21
17849,675;20220730;22
16929,563;20220730;23
15713,363;20220730;24
14668,688;20220731;1
14147,775;20220731;2
13771,313;20220731;3
13548,163;20220731;4
13438,263;20220731;5
13051,913;20220731;6
13364,025;20220731;7
13957,013;20220731;8
14740,175;20220731;9
15733,088;20220731;10
16378,513;20220731;11
16690,563;20220731;12
16740,7;20220731;13
16542,3;20220731;14
16295,975;20220731;15
16153,375;20220731;16
16123,45;20220731;17
16256,438;20220731;18
16552,025;20220731;19
16722,288;20220731;20
17016,05;20220731;21
17146,688;20220731;22
16474,575;20220731;23
15334,788;20220731;24
